=== 392: 0 | @ 43m25s.854
=== 393: 0 | @ 43m34s.323
=== 394: 0 | @ 43m43s.422
=== 395: 0 | @ 43m51s.522
=== 396: 0 | @ 44m0s.713
=== 397: 0 | @ 44m8s.901
=== 398: 0 | @ 44m18s.146
=== 399: 0 | @ 44m26s.692
=== 400: 0 | @ 44m35s.293
=== 401: 0 | @ 44m43s.517
=== 402: 0 | @ 44m51s.932
=== 403: 0 | @ 44m59s.844
=== 404: 0 | @ 45m9s.357
=== 405: 0 | @ 45m17s.252
=== 406: 0 | @ 45m25s.258
=== 407: 0 | @ 45m33s.134
=== 408: 0 | @ 45m40s.900
=== 409: 0 | @ 45m49s.596
=== 410: 0 | @ 45m57s.185
=== 411: 0 | @ 46m4s.606
=== 412: 0 | @ 46m11s.860
=== 413: 0 | @ 46m19s.141
=== 414: 0 | @ 46m26s.234
=== 415: 0 | @ 46m33s.563
=== 416: 0 | @ 46m40s.579
=== 417: 0 | @ 46m47s.419
=== 418: 0 | @ 46m54s.536
=== 419: 0 | @ 47m1s.437
=== 420: 0 | @ 47m7s.899
=== 421: 0 | @ 47m14s.528
=== 422: 0 | @ 47m22s.155
=== 423: 0 | @ 47m29s.182
=== 424: 0 | @ 47m35s.540
=== 425: 0 | @ 47m42s.429
=== 426: 0 | @ 47m48s.732
=== 427: 0 | @ 47m54s.948
=== 428: 0 | @ 48m1s.102
=== 429: 0 | @ 48m7s.228
=== 430: 0 | @ 48m13s.257
=== 431: 0 | @ 48m19s.265
=== 432: 0 | @ 48m25s.961
=== 433: 0 | @ 48m31s.674
=== 434: 0 | @ 48m37s.615
=== 435: 0 | @ 48m43s.163
=== 436: 0 | @ 48m48s.689
=== 437: 0 | @ 48m54s.182
=== 438: 0 | @ 48m59s.518
=== 439: 0 | @ 49m4s.742
=== 440: 0 | @ 49m10s.61
=== 441: 0 | @ 49m14s.780
=== 442: 0 | @ 49m19s.861
=== 443: 0 | @ 49m25s.135
=== 444: 0 | @ 49m29s.965
=== 445: 0 | @ 49m34s.859
=== 446: 0 | @ 49m39s.626
=== 447: 0 | @ 49m44s.385
=== 448: 0 | @ 49m49s.58
=== 449: 0 | @ 49m54s.223
=== 450: 0 | @ 49m58s.900
=== 451: 0 | @ 50m3s.449
=== 452: 0 | @ 50m7s.978
=== 453: 0 | @ 50m12s.413
=== 454: 0 | @ 50m16s.808
=== 455: 0 | @ 50m21s.274
=== 456: 0 | @ 50m26s.91
=== 457: 0 | @ 50m30s.275
=== 458: 0 | @ 50m34s.341
=== 459: 0 | @ 50m38s.341
=== 460: 0 | @ 50m42s.354
=== 461: 0 | @ 50m46s.189
=== 462: 0 | @ 50m50s.25
=== 463: 0 | @ 50m53s.879
=== 464: 0 | @ 50m57s.605
=== 465: 0 | @ 51m1s.292
=== 466: 0 | @ 51m4s.890
=== 467: 0 | @ 51m8s.426
=== 468: 0 | @ 51m12s.43
=== 469: 0 | @ 51m15s.576
=== 470: 0 | @ 51m19s.762
=== 471: 0 | @ 51m23s.389
=== 472: 0 | @ 51m26s.684
=== 473: 0 | @ 51m29s.969
=== 474: 0 | @ 51m33s.270
=== 475: 0 | @ 51m36s.547
=== 476: 0 | @ 51m39s.789
=== 477: 0 | @ 51m43s.37
=== 478: 0 | @ 51m46s.113
=== 479: 0 | @ 51m49s.8
=== 480: 0 | @ 51m51s.890
=== 481: 0 | @ 51m54s.747
=== 482: 0 | @ 51m57s.555
=== 483: 0 | @ 52m0s.322
=== 484: 0 | @ 52m3s.29
=== 485: 0 | @ 52m5s.693
=== 486: 0 | @ 52m8s.293
=== 487: 0 | @ 52m10s.838
=== 488: 0 | @ 52m13s.509
=== 489: 0 | @ 52m16s.425
=== 490: 0 | @ 52m18s.811
=== 491: 0 | @ 52m21s.192
=== 492: 0 | @ 52m23s.512
=== 493: 0 | @ 52m25s.796
=== 494: 0 | @ 52m28s.88
=== 495: 0 | @ 52m30s.244
=== 496: 0 | @ 52m32s.396
=== 497: 0 | @ 52m34s.480
=== 498: 0 | @ 52m36s.690
=== 499: 0 | @ 52m38s.795
=== 500: 0 | @ 52m40s.783
=== 501: 0 | @ 52m43s.176
=== 502: 0 | @ 52m45s.105
=== 503: 0 | @ 52m47s.14
=== 504: 0 | @ 52m48s.852
=== 505: 0 | @ 52m50s.670
=== 506: 0 | @ 52m52s.415
=== 507: 0 | @ 52m54s.328
=== 508: 0 | @ 52m56s.95
=== 509: 0 | @ 52m57s.733
=== 510: 0 | @ 52m59s.384
=== 511: 0 | @ 53m0s.979
=== 512: 0 | @ 53m2s.516
=== 513: 0 | @ 53m4s.17
=== 514: 0 | @ 53m5s.516
=== 515: 0 | @ 53m7s.202
=== 516: 0 | @ 53m8s.603
=== 517: 0 | @ 53m9s.954
=== 518: 0 | @ 53m11s.299
=== 519: 0 | @ 53m12s.607
=== 520: 0 | @ 53m14s.11
=== 521: 0 | @ 53m15s.256
=== 522: 0 | @ 53m16s.493
=== 523: 0 | @ 53m17s.616
=== 524: 0 | @ 53m18s.722
=== 525: 0 | @ 53m19s.785
=== 526: 0 | @ 53m20s.855
=== 527: 0 | @ 53m21s.990
=== 528: 0 | @ 53m22s.985
=== 529: 0 | @ 53m24s.95
=== 530: 0 | @ 53m24s.997
=== 531: 0 | @ 53m25s.875
=== 532: 0 | @ 53m26s.722
=== 533: 0 | @ 53m27s.506
=== 534: 0 | @ 53m28s.292
=== 535: 0 | @ 53m29s.159
=== 536: 0 | @ 53m29s.878
=== 537: 0 | @ 53m30s.571
=== 538: 0 | @ 53m31s.255
=== 539: 0 | @ 53m31s.921
=== 540: 0 | @ 53m32s.533
=== 541: 0 | @ 53m33s.102
=== 542: 0 | @ 53m33s.664
=== 543: 0 | @ 53m34s.217
=== 544: 0 | @ 53m34s.755
=== 545: 0 | @ 53m35s.240
=== 546: 0 | @ 53m35s.785
=== 547: 0 | @ 53m36s.226
=== 548: 0 | @ 53m36s.648
=== 549: 0 | @ 53m37s.62
=== 550: 0 | @ 53m37s.456
=== 551: 0 | @ 53m37s.891
=== 552: 0 | @ 53m38s.243
=== 553: 0 | @ 53m38s.566
=== 554: 0 | @ 53m38s.893
=== 555: 0 | @ 53m39s.95
=== 556: 0 | @ 53m39s.423
=== 557: 0 | @ 53m39s.672
=== 558: 0 | @ 53m39s.925
=== 559: 0 | @ 53m40s.129
=== 560: 0 | @ 53m40s.337
=== 561: 0 | @ 53m40s.517
=== 562: 0 | @ 53m40s.687
=== 563: 0 | @ 53m40s.830
=== 564: 0 | @ 53m40s.984
=== 565: 0 | @ 53m41s.124
=== 566: 0 | @ 53m41s.246
=== 567: 0 | @ 53m41s.344
=== 568: 0 | @ 53m41s.447
=== 569: 0 | @ 53m41s.530
=== 570: 0 | @ 53m41s.605
=== 571: 0 | @ 53m41s.667
=== 572: 0 | @ 53m41s.720
=== 573: 0 | @ 53m41s.775
=== 574: 0 | @ 53m41s.816
=== 575: 0 | @ 53m41s.854
=== 576: 0 | @ 53m41s.886
=== 577: 0 | @ 53m41s.905
=== 578: 0 | @ 53m41s.925
=== 579: 0 | @ 53m41s.934
=== 580: 0 | @ 53m41s.941
=== 581: 0 | @ 53m41s.946
=== 582: 0 | @ 53m41s.950
=== 583: 0 | @ 53m41s.953
=== 584: 0 | @ 53m41s.955
=== 585: 0 | @ 53m41s.956
=== 586: 0 | @ 53m41s.956
